sc_point_gid,class,capacity,capital_adder_per_mw,cf
157594,3,258.0,115068.59,0.2241
157595,9,270.0,126826.74,0.4024
157596,8,288.0,101268.14,0.3739
157597,6,276.0,48424.98,0.326
157598,5,264.0,12690.32,0.2708
157599,5,264.0,-758.95,0.2808
157600,4,246.0,-11999.26,0.2605
157601,5,246.0,-21847.62,0.2697
157602,5,246.0,-21691.1,0.2703
157603,4,258.0,-26282.64,0.2627
157604,5,258.0,-31386.05,0.2639
157605,5,276.0,-34929.29,0.2674
157606,4,258.0,-34087.16,0.2604
157607,5,264.0,-45664.73,0.2828
157608,6,270.0,-43219.5,0.3153
157609,7,240.0,-32151.51,0.3484
157610,9,228.0,-25901.05,0.3991
157611,9,276.0,-36453.16,0.4083
157612,9,270.0,-31526.87,0.4037
157613,9,270.0,-35248.25,0.4037
157614,9,270.0,-33084.67,0.4049
157615,9,258.0,-31320.41,0.4017
157616,9,264.0,-30870.81,0.3958
157617,9,246.0,-22904.78,0.3954
157618,9,258.0,-24346.69,0.4015
157619,9,270.0,-28216.64,0.3987
157620,9,276.0,-26915.09,0.3941
157621,8,258.0,-28397.53,0.391
157622,8,258.0,-29501.37,0.3783
157623,8,264.0,811.74,0.3853
157624,9,252.0,-32339.87,0.3976
157625,9,270.0,-40885.37,0.4085
157626,9,270.0,-40310.28,0.3986
157627,9,276.0,-28942.06,0.4062
157628,9,252.0,-35075.63,0.4155
157629,10,270.0,-41458.22,0.4292
157630,8,270.0,-39991.2,0.3872
157631,8,270.0,-55545.53,0.363
157632,8,270.0,-49911.41,0.3621
157633,7,264.0,-47930.51,0.3557
157634,7,258.0,-45445.04,0.3373
157635,7,270.0,-54673.31,0.3424
157636,8,246.0,-48901.01,0.3646
157637,9,264.0,-48995.89,0.3951
157638,8,270.0,-50797.85,0.3867
157639,8,270.0,-49051.87,0.3877
157640,8,276.0,-52993.93,0.3775
157641,8,264.0,-51493.56,0.3899
157642,10,282.0,-52372.79,0.4286
157643,10,282.0,-54625.27,0.4304
157644,10,282.0,-56908.23,0.427
157645,9,276.0,-58110.88,0.4189
157646,10,288.0,-45999.97,0.4399
157647,10,264.0,-47151.02,0.4503
157648,10,282.0,-56021.86,0.4351
157649,9,270.0,-50611.07,0.4177
157650,9,270.0,-44830.93,0.4157
157651,10,276.0,-44489.19,0.4355
157652,10,264.0,-43124.8,0.44
157653,10,270.0,-30296.76,0.4525
157654,10,288.0,-20172.15,0.4413
157655,10,264.0,-12096.4,0.4393
157656,9,246.0,-6132.86,0.403
157657,9,264.0,-3444.38,0.3963
157658,9,270.0,11173.97,0.3974
157659,8,270.0,33931.06,0.3865
157660,9,270.0,30854.11,0.3941
157661,9,264.0,32514.9,0.4057
157662,9,258.0,63671.16,0.4133
157663,8,258.0,203559.66,0.3847
157664,8,258.0,324271.36,0.3758
