sc_point_gid,class,capacity,capital_adder_per_mw,cf
54209,1,5030.44,56272.08,0.1933
54210,1,5428.63,94312.19,0.1941
54211,1,5227.73,171795.83,0.1902
54212,1,4719.31,136601.65,0.19
54213,1,5270.44,59533.82,0.1888
54214,1,4839.77,34184.66,0.192
54215,1,5632.08,21136.18,0.1956
54216,1,4101.48,28291.57,0.1997
54217,1,1608.21,33936.76,0.1987
54218,1,4586.31,55414.62,0.1997
54219,1,843.42,46582.78,0.2001
54220,1,1411.38,20924.16,0.2104
54221,1,99.4,26788.28,0.2144
54222,2,512.53,37362.69,0.2396
54223,2,3719.24,31558.99,0.2442
54224,2,3657.73,26775.53,0.2523
54225,3,3645.04,-1243.42,0.2601
54226,3,3860.15,90863.26,0.2582
54227,2,5153.46,137660.26,0.2569
54228,3,2343.06,219179.38,0.2591
54229,3,5120.33,-13471.11,0.2629
54230,3,5670.89,-16431.34,0.2658
54231,3,5611.34,-16876.12,0.2622
54232,2,3952.1,6813.73,0.2569
54233,2,3629.08,36041.51,0.2575
54234,2,4837.66,43974.89,0.2573
54235,2,5064.26,36507.81,0.2565
54236,2,3764.46,20642.2,0.2567
54237,2,4681.0,4924.56,0.2557
54238,2,5479.2,8885.1,0.2566
54239,2,5597.22,-36882.49,0.2571
54240,3,5672.07,-43670.61,0.2576
54241,2,5669.87,-45811.5,0.257
54242,2,5622.23,-45481.76,0.2544
54243,2,5616.01,-41989.05,0.2525
54244,2,5166.64,-51292.89,0.251
54245,2,5268.65,-54168.66,0.2503
54246,2,5421.76,-47670.49,0.2488
54247,2,5117.31,-46012.99,0.246
54248,2,5476.93,-39385.65,0.2444
54249,2,5570.41,-32643.09,0.2409
54250,2,5600.11,-40441.14,0.2376
54251,1,5588.93,-41204.62,0.2328
54252,1,5564.82,-38868.12,0.2263
54253,1,5412.3,-28879.93,0.2231
54254,1,4418.1,-19271.28,0.2209
54255,1,4755.71,-43246.84,0.2166
54256,1,1463.7,-42778.93,0.2128
54257,1,2095.94,-38204.25,0.2107
54258,1,2502.74,-36058.41,0.2105
54259,1,3687.1,-17049.2,0.2096
54260,1,2570.93,-32946.94,0.2135
54261,1,4320.79,-28579.85,0.213
54262,1,4711.06,-23621.96,0.2121
54263,1,4523.88,34429.68,0.2093
54264,1,178.22,57491.53,0.2101
54265,1,2981.97,-13452.93,0.2198
54266,1,4755.79,-2932.66,0.2171
54267,1,5045.31,10624.95,0.2239
54268,1,5305.76,65953.51,0.2212
54269,1,5650.82,61516.98,0.2238
54270,1,5485.29,126191.88,0.2223
54271,1,2622.64,263817.68,0.2176
54272,1,1526.68,85410.9,0.2137
54273,1,3961.45,68111.69,0.2082
54274,1,1392.48,-12478.84,0.206
54275,1,2398.98,-26816.89,0.2057
54276,1,912.31,13423.72,0.2055
54277,1,256.7,-32026.86,0.2059
54281,2,1838.67,-6169.72,0.2347
54282,2,4067.22,-6937.79,0.2341
54283,2,4315.62,-5028.9,0.2351
54284,2,5348.69,-5853.51,0.2363
54285,2,5223.09,-13112.07,0.2378
54286,2,5572.39,-3850.72,0.2375
54287,2,5427.12,-1460.17,0.2374
54288,2,5284.82,-5252.57,0.2368
54289,2,5036.51,-8172.59,0.2374
54290,2,5662.56,-10852.58,0.2377
54291,2,5671.52,-17203.82,0.2375
54292,2,5673.54,-12344.34,0.2372
54293,2,5613.17,-14543.92,0.2379
54294,2,5078.17,-32495.68,0.2387
54295,2,5601.71,-5389.96,0.2376
54296,2,5659.93,-2420.4,0.237
54297,2,5542.06,-9154.93,0.2357
54298,1,5530.47,-9715.13,0.2332
54299,1,5351.59,-40041.71,0.2305
54300,1,5101.51,-39162.04,0.2307
54301,2,5275.03,-34405.39,0.2344
54302,2,5376.55,-44449.64,0.2362
54303,2,5533.87,-37196.43,0.2368
54304,2,5540.9,-31757.19,0.2359
54305,2,5495.79,-31269.0,0.237
54306,2,5445.89,-47721.55,0.2377
54307,2,5667.1,-40001.36,0.237
54308,2,5616.43,-39447.74,0.2363
54309,2,4980.42,-41511.71,0.2361
54310,2,4624.52,-44356.26,0.2356
54311,2,5246.06,-49648.68,0.2379
54312,2,2925.47,-50133.42,0.237
54313,2,4199.32,-50573.17,0.2344
54314,2,3194.98,-49482.12,0.2353
54315,2,3528.19,-54702.58,0.2344
54316,2,5200.33,-57181.82,0.2349
54317,2,5013.94,-64560.61,0.2348
54318,2,4167.71,-66253.83,0.2355
54319,2,1966.11,-66795.18,0.2366
54320,2,2040.15,-70722.83,0.237
54321,2,5410.85,-70428.02,0.2364
54322,2,5619.79,-72213.18,0.2368
54323,2,5508.2,-71395.37,0.2369
54324,2,5509.45,-71506.01,0.2364
54325,2,5540.53,-70273.34,0.2369
54326,2,5625.46,-73708.99,0.2358
54327,2,5664.98,-75041.53,0.2343
54328,2,5650.97,-73449.36,0.2335
54329,2,5622.05,-74136.38,0.2342
54330,1,5443.61,-65887.59,0.2327
54331,2,5543.98,-65337.22,0.2351
54332,2,5637.09,-62554.36,0.2398
