*i,month,r,value
hydD,FEB,p53,0.415
hydD,FEB,p54,0.491
hydD,FEB,p55,0.597
hydD,FEB,p56,0.648
hydD,FEB,p57,0.577
hydD,FEB,p58,0.663
hydD,FEB,p59,0.366
hydD,FEB,p6,0.788
hydD,FEB,p61,0.374
hydD,FEB,p63,0.521
hydD,FEB,p64,0.547
hydD,FEB,p65,0.486
hydD,FEB,p66,0.637
hydD,FEB,p67,0.524
hydD,FEB,p68,0.294
hydD,FEB,p69,0.38
hydD,FEB,p7,0.507
hydD,FEB,p70,0.358
hydD,FEB,p71,0.36
hydD,FEB,p72,0.512
hydD,FEB,p73,0.675
hydD,FEB,p74,0.796
hydD,FEB,p75,0.776
hydD,FEB,p76,0.681
hydD,FEB,p77,0.611
hydD,FEB,p78,0.622
hydD,FEB,p8,0.818
hydD,FEB,p80,0.661
hydD,FEB,p81,0.563
hydD,FEB,p82,0.499
hydD,FEB,p83,0.63
hydD,FEB,p84,0.727
hydD,FEB,p85,0.657
hydD,FEB,p86,0.68
hydD,FEB,p87,0.712
hydD,FEB,p88,0.756
hydD,FEB,p89,0.744
hydD,FEB,p9,0.649
hydD,FEB,p90,0.756
hydD,FEB,p91,0.759
hydD,FEB,p92,0.755
hydD,FEB,p93,0.719
hydD,FEB,p94,0.753
hydD,FEB,p95,0.746
hydD,FEB,p96,0.755
hydD,FEB,p97,0.754
hydD,FEB,p98,0.707
hydD,FEB,p99,0.695
hydD,JAN,p1,0.744
hydD,JAN,p10,0.558
hydD,JAN,p100,0.697
hydD,JAN,p101,0.696
hydD,JAN,p103,0.705
hydD,JAN,p104,0.798
hydD,JAN,p105,0.698
hydD,JAN,p106,0.63
hydD,JAN,p107,0.669
hydD,JAN,p108,0.778
hydD,JAN,p109,0.701
hydD,JAN,p110,0.662
hydD,JAN,p111,0.637
hydD,JAN,p112,0.699
hydD,JAN,p113,0.651
hydD,JAN,p114,0.654
hydD,JAN,p115,0.746
hydD,JAN,p116,0.734
hydD,JAN,p117,0.688
hydD,JAN,p118,0.699
hydD,JAN,p119,0.723
hydD,JAN,p12,0.457
hydD,JAN,p121,0.691
hydD,JAN,p122,0.74
hydD,JAN,p123,0.693
hydD,JAN,p126,0.758
hydD,JAN,p127,0.733
hydD,JAN,p129,0.693
hydD,JAN,p130,0.711
hydD,JAN,p131,0.754
hydD,JAN,p132,0.754
hydD,JAN,p134,0.656
hydD,JAN,p14,0.495
hydD,JAN,p15,0.487
hydD,JAN,p16,0.431
hydD,JAN,p17,0.569
hydD,JAN,p18,0.462
hydD,JAN,p19,0.411
hydD,JAN,p2,0.716
hydD,JAN,p20,0.467
hydD,JAN,p21,0.386
hydD,JAN,p24,0.436
hydD,JAN,p25,0.485
hydD,JAN,p26,0.532
hydD,JAN,p27,0.536
hydD,JAN,p28,0.625
hydD,JAN,p3,0.633
hydD,JAN,p31,0.392
hydD,JAN,p32,0.535
hydD,JAN,p33,0.499
hydD,JAN,p34,0.455
hydD,JAN,p35,0.51
hydD,JAN,p36,0.532
hydD,JAN,p38,0.518
hydD,JAN,p39,0.458
hydD,JAN,p4,0.74
hydD,JAN,p40,0.502
hydD,JAN,p41,0.541
hydD,JAN,p42,0.504
hydD,JAN,p43,0.639
hydD,JAN,p44,0.342
hydD,JAN,p45,0.487
hydD,JAN,p46,0.566
hydD,JAN,p48,0.372
hydD,JAN,p5,0.851
hydD,JAN,p50,0.498
hydD,JAN,p51,0.443
hydD,JAN,p52,0.569
hydD,JAN,p53,0.415
hydD,JAN,p54,0.491
hydD,JAN,p55,0.597
hydD,JAN,p56,0.648
hydD,JAN,p57,0.577
hydD,JAN,p58,0.663
hydD,JAN,p59,0.366
hydD,JAN,p6,0.788
hydD,JAN,p61,0.374
hydD,JAN,p63,0.521
hydD,JAN,p64,0.547
hydD,JAN,p65,0.486
hydD,JAN,p66,0.637
hydD,JAN,p67,0.524
hydD,JAN,p68,0.294
hydD,JAN,p69,0.38
hydD,JAN,p7,0.507
hydD,JAN,p70,0.358
hydD,JAN,p71,0.36
hydD,JAN,p72,0.512
hydD,JAN,p73,0.675
hydD,JAN,p74,0.796
hydD,JAN,p75,0.776
hydD,JAN,p76,0.681
hydD,JAN,p77,0.611
hydD,JAN,p78,0.622
hydD,JAN,p8,0.818
hydD,JAN,p80,0.661
hydD,JAN,p81,0.563
hydD,JAN,p82,0.499
hydD,JAN,p83,0.63
hydD,JAN,p84,0.727
hydD,JAN,p85,0.657
hydD,JAN,p86,0.68
hydD,JAN,p87,0.712
hydD,JAN,p88,0.756
hydD,JAN,p89,0.744
hydD,JAN,p9,0.649
hydD,JAN,p90,0.756
hydD,JAN,p91,0.759
hydD,JAN,p92,0.755
hydD,JAN,p93,0.719
hydD,JAN,p94,0.753
hydD,JAN,p95,0.746
hydD,JAN,p96,0.755
hydD,JAN,p97,0.754
hydD,JAN,p98,0.707
hydD,JAN,p99,0.695
hydD,JUL,p1,0.624
hydD,JUL,p10,0.839
hydD,JUL,p100,0.494
hydD,JUL,p101,0.526
hydD,JUL,p103,0.47
hydD,JUL,p104,0.61
hydD,JUL,p105,0.551
hydD,JUL,p106,0.485
hydD,JUL,p107,0.501
hydD,JUL,p108,0.309
hydD,JUL,p109,0.314
hydD,JUL,p110,0.36
hydD,JUL,p111,0.45
hydD,JUL,p112,0.475
hydD,JUL,p113,0.52
hydD,JUL,p114,0.496
hydD,JUL,p115,0.415
hydD,JUL,p116,0.389
hydD,JUL,p117,0.395
hydD,JUL,p118,0.506
hydD,JUL,p119,0.36
hydD,JUL,p12,0.775
hydD,JUL,p121,0.418
hydD,JUL,p122,0.385
hydD,JUL,p123,0.426
hydD,JUL,p126,0.488
hydD,JUL,p127,0.424
hydD,JUL,p129,0.495
hydD,JUL,p130,0.537
hydD,JUL,p131,0.453
hydD,JUL,p132,0.434
hydD,JUL,p134,0.574
hydD,JUL,p14,0.746
hydD,JUL,p15,0.852
hydD,JUL,p16,0.962
hydD,JUL,p17,0.821
hydD,JUL,p18,0.917
hydD,JUL,p19,0.916
hydD,JUL,p2,0.63
hydD,JUL,p20,0.94
hydD,JUL,p21,0.955
hydD,JUL,p24,0.86
hydD,JUL,p25,0.772
hydD,JUL,p26,0.837
hydD,JUL,p27,0.852
hydD,JUL,p28,0.742
hydD,JUL,p3,0.754
hydD,JUL,p31,0.857
hydD,JUL,p32,0.738
hydD,JUL,p33,0.932
