name,MW,year_online,trtype,certain,from_lon,from_lat,to_lon,to_lat
z134:p49~~p50,100000,0,VSC,0,-101.49888204,36.75146918,-97.47898472,35.29751298
z134:p49~~p52,100000,0,VSC,0,-101.49888204,36.75146918,-101.03458436,38.75868385
z134:p49~~p53,100000,0,VSC,0,-101.49888204,36.75146918,-97.49793745,38.39157084
z134:p50~~p51,100000,0,VSC,0,-97.47898472,35.29751298,-95.63177773,36.27624442
z134:p50~~p53,100000,0,VSC,0,-97.47898472,35.29751298,-97.49793745,38.39157084
z134:p50~~p56,100000,0,VSC,0,-97.47898472,35.29751298,-93.59505047,35.48090299
z134:p50~~p57,100000,0,VSC,0,-97.47898472,35.29751298,-94.52500088,32.84787479
z134:p50~~p85,100000,0,VSC,0,-97.47898472,35.29751298,-92.02206131,34.67614755
z134:p51~~p53,100000,0,VSC,0,-95.63177773,36.27624442,-97.49793745,38.39157084
z134:p51~~p55,100000,0,VSC,0,-95.63177773,36.27624442,-93.62367343,37.38722214
z134:p51~~p56,100000,0,VSC,0,-95.63177773,36.27624442,-93.59505047,35.48090299
z134:p52~~p53,100000,0,VSC,0,-101.03458436,38.75868385,-97.49793745,38.39157084
z134:p53~~p54,100000,0,VSC,0,-97.49793745,38.39157084,-93.97419616,39.67019964
z134:p53~~p55,100000,0,VSC,0,-97.49793745,38.39157084,-93.62367343,37.38722214
z134:p54~~p55,100000,0,VSC,0,-93.97419616,39.67019964,-93.62367343,37.38722214
z134:p54~~p70,100000,0,VSC,0,-93.97419616,39.67019964,-92.64864641,41.54815458
z134:p54~~p71,100000,0,VSC,0,-93.97419616,39.67019964,-92.08030575,39.98046911
z134:p54~~p72,100000,0,VSC,0,-93.97419616,39.67019964,-91.35906588,38.50342187
z134:p55~~p56,100000,0,VSC,0,-93.62367343,37.38722214,-93.59505047,35.48090299
z134:p55~~p72,100000,0,VSC,0,-93.62367343,37.38722214,-91.35906588,38.50342187
z134:p55~~p84,100000,0,VSC,0,-93.62367343,37.38722214,-91.29496646,37.06420364
z134:p55~~p85,100000,0,VSC,0,-93.62367343,37.38722214,-92.02206131,34.67614755
z134:p56~~p85,100000,0,VSC,0,-93.59505047,35.48090299,-92.02206131,34.67614755
z134:p57~~p58,100000,0,VSC,0,-94.52500088,32.84787479,-91.97834975,30.79723643
z134:p57~~p66,100000,0,VSC,0,-94.52500088,32.84787479,-94.50491404,30.70473578
z134:p57~~p85,100000,0,VSC,0,-94.52500088,32.84787479,-92.02206131,34.67614755
z134:p58~~p66,100000,0,VSC,0,-91.97834975,30.79723643,-94.50491404,30.70473578
z134:p58~~p85,100000,0,VSC,0,-91.97834975,30.79723643,-92.02206131,34.67614755
z134:p58~~p86,100000,0,VSC,0,-91.97834975,30.79723643,-91.93563781,32.55385405
z134:p58~~p87,100000,0,VSC,0,-91.97834975,30.79723643,-89.93377714,32.30945125
z134:p60~~p61,100000,0,VSC,0,-100.4866502,33.41132391,-102.52534008,30.80627576
z134:p60~~p62,100000,0,VSC,0,-100.4866502,33.41132391,-102.35242639,31.79268173
