name,from_lon,from_lat,to_lon,to_lat,polarity,voltage,cost_MUSD,length_miles
z134:p43~~p46,-93.66196443,46.24990794,-91.36892425,45.47227184,dc,500,351.63,155.04
z134:p43~~p53,-93.66196443,46.24990794,-97.49793745,38.39157084,dc,500,1377.16,627.4
z134:p43~~p54,-93.66196443,46.24990794,-93.97419616,39.67019964,dc,500,1066.75,467.67
z134:p43~~p68,-93.66196443,46.24990794,-93.78878598,43.84993423,dc,500,399.45,174.67
z134:p43~~p80,-93.66196443,46.24990794,-88.78740634,41.76755631,dc,500,943.5,414.99
z134:p43~~p81,-93.66196443,46.24990794,-89.78738098,39.32261591,dc,500,1282.21,571.74
z134:p43~~p85,-93.66196443,46.24990794,-92.02206131,34.67614755,dc,500,1932.01,857.36
z134:p44~~p45,-95.74043708,44.41229814,-95.03227389,42.42197121,dc,500,342.61,152.91
z134:p44~~p68,-95.74043708,44.41229814,-93.78878598,43.84993423,dc,500,247.93,112.81
z134:p45~~p103,-95.03227389,42.42197121,-84.61125526,43.8762499,dc,500,1526.18,657.78
z134:p45~~p112,-95.03227389,42.42197121,-82.80095864,40.13748215,dc,500,1558.89,688.27
z134:p45~~p50,-95.03227389,42.42197121,-97.47898472,35.29751298,dc,500,1213.36,550.89
z134:p45~~p54,-95.03227389,42.42197121,-93.97419616,39.67019964,dc,500,476.13,214.48
z134:p45~~p63,-95.03227389,42.42197121,-97.11394036,32.36521363,dc,500,1672.03,752.39
z134:p45~~p68,-95.03227389,42.42197121,-93.78878598,43.84993423,dc,500,281.32,125.36
z134:p45~~p69,-95.03227389,42.42197121,-92.13437773,42.92060401,dc,500,367.84,161.69
z134:p45~~p70,-95.03227389,42.42197121,-92.64864641,41.54815458,dc,500,338.94,147.2
z134:p45~~p80,-95.03227389,42.42197121,-88.78740634,41.76755631,dc,500,767.21,333.89
z134:p45~~p87,-95.03227389,42.42197121,-89.93377714,32.30945125,dc,500,1810.96,820.89
z134:p45~~p92,-95.03227389,42.42197121,-86.34952583,35.85850386,dc,500,1546.03,679.03
z134:p45~~p94,-95.03227389,42.42197121,-83.43553366,32.63997261,dc,500,2227.24,966.52
z134:p46~~p68,-91.36892425,45.47227184,-93.78878598,43.84993423,dc,500,376.55,166.58
z134:p46~~p74,-91.36892425,45.47227184,-88.14757936,46.39738399,dc,500,432.1,185.13
z134:p46~~p75,-91.36892425,45.47227184,-88.85996946,45.20926475,dc,500,295.32,130.14
z134:p46~~p76,-91.36892425,45.47227184,-89.1038466,44.08576245,dc,500,343.49,153.86
z134:p46~~p77,-91.36892425,45.47227184,-90.52129625,43.41085624,dc,500,358.52,160.92
z134:p47~~p48,-103.91132463,33.46127096,-101.7996265,34.84980919,dc,500,348.89,162.97
z134:p48~~p49,-101.7996265,34.84980919,-101.49888204,36.75146918,dc,500,301.54,141.25
z134:p48~~p50,-101.7996265,34.84980919,-97.47898472,35.29751298,dc,500,547.37,252.85
z134:p49~~p50,-101.49888204,36.75146918,-97.47898472,35.29751298,dc,500,571.81,264.62
z134:p49~~p52,-101.49888204,36.75146918,-101.03458436,38.75868385,dc,500,323.56,151.75
z134:p49~~p53,-101.49888204,36.75146918,-97.49793745,38.39157084,dc,500,565.77,265.51
z134:p50~~p105,-97.47898472,35.29751298,-86.25403168,40.72629479,dc,500,1693.76,758.38
z134:p50~~p51,-97.47898472,35.29751298,-95.63177773,36.27624442,dc,500,305.96,132.03
z134:p50~~p53,-97.47898472,35.29751298,-97.49793745,38.39157084,dc,500,502.04,224.61
z134:p50~~p56,-97.47898472,35.29751298,-93.59505047,35.48090299,dc,500,503.13,224.47
z134:p50~~p57,-97.47898472,35.29751298,-94.52500088,32.84787479,dc,500,548.83,243.56
z134:p50~~p60,-97.47898472,35.29751298,-100.4866502,33.41132391,dc,500,492.07,226.67
z134:p50~~p61,-97.47898472,35.29751298,-102.52534008,30.80627576,dc,500,933.23,427.81
z134:p50~~p80,-97.47898472,35.29751298,-88.78740634,41.76755631,dc,500,1478.18,659.47
z134:p50~~p81,-97.47898472,35.29751298,-89.78738098,39.32261591,dc,500,1194.75,534.56
z134:p50~~p85,-97.47898472,35.29751298,-92.02206131,34.67614755,dc,500,731.43,326.79
z134:p50~~p94,-97.47898472,35.29751298,-83.43553366,32.63997261,dc,500,1960.38,869.66
