name,MW,year_online,trtype,certain,from_lon,from_lat,to_lon,to_lat
z134:p99~~p101,100000,0,LCC,0,-77.99964991,37.62459409,-82.16153403,28.61064555
z134:p99~~p105,100000,0,LCC,0,-77.99964991,37.62459409,-86.25403168,40.72629479
z134:p99~~p127,100000,0,LCC,0,-77.99964991,37.62459409,-75.58732565,42.99934248
z134:p99~~p134,100000,0,LCC,0,-77.99964991,37.62459409,-69.23781577,45.35740733
z134:p103~~p122,100000,0,LCC,0,-84.61125526,43.8762499,-76.28677225,40.53840825
z134:p103~~p127,100000,0,LCC,0,-84.61125526,43.8762499,-75.58732565,42.99934248
z134:p103~~p134,100000,0,LCC,0,-84.61125526,43.8762499,-69.23781577,45.35740733
z134:p105~~p112,100000,0,LCC,0,-86.25403168,40.72629479,-82.80095864,40.13748215
z134:p105~~p127,100000,0,LCC,0,-86.25403168,40.72629479,-75.58732565,42.99934248
z134:p105~~p131,100000,0,LCC,0,-86.25403168,40.72629479,-71.79474674,42.25461052
z134:p112~~p127,100000,0,LCC,0,-82.80095864,40.13748215,-75.58732565,42.99934248
z134:p112~~p134,100000,0,LCC,0,-82.80095864,40.13748215,-69.23781577,45.35740733
z134:p122~~p127,100000,0,LCC,0,-76.28677225,40.53840825,-75.58732565,42.99934248
z134:p122~~p131,100000,0,LCC,0,-76.28677225,40.53840825,-71.79474674,42.25461052
z134:p127~~p131,100000,0,LCC,0,-75.58732565,42.99934248,-71.79474674,42.25461052
z134:p127~~p134,100000,0,LCC,0,-75.58732565,42.99934248,-69.23781577,45.35740733
