r,md5,node_lat,node_lon
p09150,2761ef34dfd41c2133f55103db28ec78,41.82677691,-71.97677239
p09160,59076d853385b8c3bc69e6183f05ee25,41.84678552,-73.22131365
p09170,dc69d22d98033332d03f25b3b35bc154,41.36108613,-72.84450433
p09180,637e5a550ef729b94ff6142dbd09735f,41.50212639,-72.09992579
p09190,2b7595a384e8dcd04db33d6e05002eac,41.32163781,-73.44774965
p10001,d89f3a35931c386956c1a402a8e09941,39.0859257,-75.56841539
p10003,f5dffc111454b227fbcdf36178dfe6ac,39.57687945,-75.65258951
p10005,6eb887126d24e8f1cd8ad5033482c781,38.6604882,-75.39000555
p11001,64254db8396e404d9223914a0bd355d2,38.90475808,-77.01628315
p12001,ba3abb2c0cb388f3cd4e77de3c78ff51,29.67475851,-82.35758323
p12003,d2a9aaedbe3616c7be11e07856c29e2a,30.33099207,-82.28449214
p12005,aa62458166d68ba3cffa22542733ac8c,30.2651787,-85.6201583
p12007,5c142c3bfd572b54fcf5efda828aadf8,29.9499281,-82.16880167
p12009,c1399f2eb50e562b9e0f3778c16fd7a3,28.29299516,-80.7320021
p12011,9d624e9fd3bd011eb7a8f1d40f457d93,26.15245315,-80.48705696
p12013,e3292c4c18eae706134c3a5874c6384e,30.40597723,-85.19728258
p12015,5fc31084408a07f4170a4109991b558b,26.90564977,-81.91226066
p12017,4ac5aa745798f8e399a28bd6ee7d379c,28.8489051,-82.47932574
p12019,172188c0dacb487075bdc0c9afd757b2,29.98301362,-81.85789604
p12021,49ca03822497d26a3943d5084ed59130,26.11063044,-81.34720223
p12023,ae385516bf05975c06778418ba30dc0a,30.22391659,-82.62167767
p12027,0c95e4a579307c6cf93f139e12d62022,27.18634154,-81.80944176
p12029,e6d71413617dfba7a5ff5b9a7180c007,29.60809082,-83.15879907
p12031,1f539471127c904e22309f6fa599e98f,30.33158745,-81.67084317
p12033,78f41579c50b633ec3c475380260fb61,30.66845772,-87.3625905
p12035,8a9e0b75eccc318e8e449b34f0a56462,29.461341,-81.31355202
p12037,2f4059dbdef515f7ddf25d1888ec1704,29.87655764,-84.81413348
p12039,00b682284a10bdccd33c429ec31f4bec,30.57951231,-84.61359591
p12041,aa1f5f73327ba40d47ebce155e785aaf,29.72577919,-82.80036133
p12043,422f010441436ae9511d3e04a6d0d186,26.95646235,-81.18914142
p12045,fb598cb494b6e98253995d800fab908d,29.95542798,-85.2265344
p12047,e99298b28ed320343949b7631bebe7e5,30.49650004,-82.94784304
p12049,fd1095d744e5a2ba86ca7a9870aa6730,27.49274553,-81.81000404
p12051,50e1781e60d725365a74d585a2734062,26.55342927,-81.16574543
